sample	layout	read	remote_relpath	url	md5	bytes
ERR11147962	PE	R1	fastq_public/swedish/ERR11147962_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/062/ERR11147962/ERR11147962_1.fastq.gz	23fa1651aa741df77b04ebc94f4664bb	28592308580
ERR11147962	PE	R2	fastq_public/swedish/ERR11147962_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/062/ERR11147962/ERR11147962_2.fastq.gz	74bd0e12ee034ba80911e275286fee83	26962704039
ERR11147963	PE	R1	fastq_public/swedish/ERR11147963_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/063/ERR11147963/ERR11147963_1.fastq.gz	7be624b579d1856035ca853e8d7af691	28090188061
ERR11147963	PE	R2	fastq_public/swedish/ERR11147963_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/063/ERR11147963/ERR11147963_2.fastq.gz	470e8765ecd530937fc13235bc77c669	26723054407
ERR11147965	PE	R1	fastq_public/swedish/ERR11147965_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/065/ERR11147965/ERR11147965_1.fastq.gz	207a64af722d97c57f0e64d6104b2246	25795244825
ERR11147965	PE	R2	fastq_public/swedish/ERR11147965_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/065/ERR11147965/ERR11147965_2.fastq.gz	5dc918a8e45180eb5cdc326b53b49fe3	27344729079
ERR12507148	PE	R1	fastq_public/swiss/ERR12507148_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/048/ERR12507148/ERR12507148_1.fastq.gz	6bf4299ab7a2e81511b442bd0fc58351	9635804357
ERR12507148	PE	R2	fastq_public/swiss/ERR12507148_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/048/ERR12507148/ERR12507148_2.fastq.gz	d8fc7fc8891617dd2f131a303478a0d4	10241389870
ERR12507160	PE	R1	fastq_public/swiss/ERR12507160_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/060/ERR12507160/ERR12507160_1.fastq.gz	836204c5eedfe85f4064055bda05db99	9456201915
ERR12507160	PE	R2	fastq_public/swiss/ERR12507160_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/060/ERR12507160/ERR12507160_2.fastq.gz	47757cee90ef12041d90b60ced524c5e	10425425504
